comuna,apruebo_p22,rechazo_p22,byn_p22,novoto_p22
HUALPEN,0.3421768618925498,0.548680630589583,0.020880794615775154,0.08826171290209199
HUALQUI,0.24990488871980218,0.6287806733878638,0.021019592923720753,0.10029484496861328
HUARA,0.07792512615890154,0.26323201502171106,0.00621992723858702,0.6526229315808004
HUASCO,0.3959778901564154,0.4303187110431612,0.0203457603198871,0.15335763848053627
HUECHURABA,0.3963709997617724,0.4902326689430636,0.017575901956113183,0.0958204293390508
ILLAPEL,0.35296427169218686,0.48263554270621406,0.022593425420280543,0.1418067601813185
INDEPENDENCIA,0.32524676934814745,0.41813695102760956,0.01851366172333222,0.23810261790091078
IQUIQUE,0.26911876002785096,0.5117670208579299,0.017503708412799322,0.2016105107014198
ISLA DE MAIPO,0.3406874445884198,0.5698015412944145,0.016811020937052445,0.0726999931801132
ISLA DE PASCUA,0.3396810651803685,0.271559064870723,0.017804613717293697,0.3709552562316148
JUAN FERNANDEZ,0.36,0.2582857142857143,0.016,0.3657142857142857
LA CISTERNA,0.3797627716955282,0.43742825756921216,0.017884693713820215,0.16492427702143941
LA CRUZ,0.3257040213234442,0.5647815505852358,0.02057017035577703,0.08894425773554293
LA ESTRELLA,0.3115757266700663,0.5831208567057624,0.022182559918408975,0.08312085670576237
LA FLORIDA,0.4367112487314928,0.4378691681194869,0.01968788217844969,0.10573170097057064
LA GRANJA,0.4241670760685389,0.429932122840614,0.023000030078504898,0.12290077101234222
LA HIGUERA,0.31736263736263737,0.4997802197802198,0.023736263736263738,0.15912087912087913
LA LIGUA,0.367642318354716,0.5275610856811295,0.02030816839662175,0.08448842756753272
LA PINTANA,0.40207413069522335,0.4640408064267182,0.02068250806647214,0.11320255481158632
LA REINA,0.3344781741635276,0.5039552404165744,0.015067582539330823,0.14649900288056725
LA SERENA,0.3640187689170506,0.4891769114561925,0.02071200175091149,0.12609231787584543
LA UNION,0.22844514071504504,0.60971856990992,0.016533318413249034,0.14530297096178593
